label,text,label_encoded
ham,engalnd telly decided wont let watch mia elliot kissing damn,0
ham,told going got drunk,0
ham,yet chikkuwat abt,0
ham,moji love words rich day,0
ham,many buy,0
ham,fighting world easy either win lose fightng close dificult lose lose win still lose,0
ham,stitch trouser,0
spam,got takes take part wrc rally lucozade energy text rally see packs lucozadecoukwrc itcould,1
ham,smith waste dai wan gayle,0
ham,dunno next show aft toa payoh got,0
ham,yeah theres quite bit left ill swing tomorrow get,0
ham,good morning dear shijutta great amp successful day,0
ham,goin got somethin unless meetin dinner lor haha wonder tis time,0
ham,mean website yes,0
ham,way day normal waythis real uniquei hope know rest mylife hope find wot lost,0
ham,hey whats plan sat,0
ham,boy best get ass quick,0
ham,like spoiled,0
ham,wake already thanx tau sar piah quite nice,0
ham,still grinder,0
ham,big brothers really scraped barrel shower social misfits,0
ham,office dawhere,0
ham,mon okie lor haha best cheap food oso okie depends whether wana eat western chinese food den prefer,0
spam,babe want dont baby nasty thing filthyguys fancy rude time sexy bitch slo hard txt xxx slomsgs,1
spam,guaranteed cash prizeto claim prize call customer service representative,1
ham,road cant txt,0
ham,feel like dick keep sleeping texts facebook messages sup town,0
ham,mystery solved opened email hes sent another batch isnt sweetie,0
ham,ask darren pick lor oso sian tmr haf meet lect,0
ham,princess like make love ltgt times per night hope thats problem,0
ham,enjoy life good night,0
ham,one slow poo,0
ham,also remember get dobbys bowl car,0
ham,,0
ham,sorry sent blank msg yup trying serious studying,0
ham,thats cool hell night lem know youre around,0
spam,congratulations youve youre winner august prize draw call prize code,1
ham,cool tyler take gon buy drop place later tonight total order quarter got enough,0
ham,wont get concentration dear know mind everything,0
ham,told number gautham,0
spam,england macedonia dont miss goalsteam news txt national team england trywales scotland txt poboxoxwwq,1
ham,dont necessarily expect done get back though headin,0
ham,leave,0
ham,love someone dont make love much love much dont want loved anyone except gud nit,0
ham,great church holla get,0
ham,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea,0
ham,problem frm wats matter,0
ham,ryder unsoldnow gibbs,0
ham,good thinking,0
